Id,UserId,PropertyId,UserActivityType,Metadata,CreatedAt
4001,12121212-1212-1212-1212-121212121212,,search,"{""keyword"":""cairo apartment"",""governorate"":""CairoGovernorate"",""minPrice"":5000,""maxPrice"":9000,""type"":""Apartment"",""rentalUnit"":""Monthly"",""minBedrooms"":2,""latitude"":30.0444,""longitude"":31.2357,""radiusKm"":15,""page"":1,""pageSize"":20}",2026-05-21T09:00:00Z
4002,12121212-1212-1212-1212-121212121212,2001,view,,2026-05-21T09:02:00Z
4003,12121212-1212-1212-1212-121212121212,2003,save,,2026-05-21T09:05:00Z
4004,12121212-1212-1212-1212-121212121212,2002,booking,,2026-05-21T09:09:00Z
4005,13131313-1313-1313-1313-131313131313,,search,"{""keyword"":""alex studio"",""governorate"":""AlexandriaGovernorate"",""maxPrice"":6000,""type"":""Studio"",""rentalUnit"":""Monthly"",""latitude"":31.2001,""longitude"":29.9187,""radiusKm"":12,""page"":1,""pageSize"":20}",2026-05-22T10:00:00Z
4006,13131313-1313-1313-1313-131313131313,2009,view,,2026-05-22T10:03:00Z
4007,13131313-1313-1313-1313-131313131313,2009,save,,2026-05-22T10:05:00Z
4008,13131313-1313-1313-1313-131313131313,,search,"{""keyword"":""alex apartment"",""governorate"":""AlexandriaGovernorate"",""minPrice"":5000,""maxPrice"":8000,""type"":""Apartment"",""rentalUnit"":""Monthly"",""page"":1,""pageSize"":20}",2026-05-22T10:11:00Z
4009,14141414-1414-1414-1414-141414141414,,search,"{""keyword"":""zagazig apartment"",""governorate"":""SharkiaGovernorate"",""minPrice"":4500,""maxPrice"":7000,""rentalUnit"":""Monthly"",""minBedrooms"":2,""latitude"":30.5877,""longitude"":31.5020,""radiusKm"":20,""page"":1,""pageSize"":20}",2026-05-23T11:00:00Z
4010,14141414-1414-1414-1414-141414141414,2011,view,,2026-05-23T11:02:00Z
4011,14141414-1414-1414-1414-141414141414,,search,"{""keyword"":""damietta apartment"",""governorate"":""DamiettaGovernorate"",""minPrice"":4500,""maxPrice"":8000,""rentalUnit"":""Monthly"",""minBedrooms"":2,""latitude"":31.4165,""longitude"":31.8133,""radiusKm"":25,""page"":1,""pageSize"":20}",2026-05-23T11:10:00Z
4012,14141414-1414-1414-1414-141414141414,2016,save,,2026-05-23T11:14:00Z
4013,15151515-1515-1515-1515-151515151515,,search,"{""keyword"":""cairo villa"",""governorate"":""CairoGovernorate"",""minPrice"":15000,""maxPrice"":26000,""type"":""Villa"",""rentalUnit"":""Monthly"",""minBedrooms"":4,""minBathrooms"":3,""latitude"":30.0300,""longitude"":31.4700,""radiusKm"":20,""page"":1,""pageSize"":20}",2026-05-24T12:00:00Z
4014,15151515-1515-1515-1515-151515151515,2005,view,,2026-05-24T12:04:00Z
4015,15151515-1515-1515-1515-151515151515,,search,"{""keyword"":""alex villa"",""governorate"":""AlexandriaGovernorate"",""minPrice"":18000,""maxPrice"":26000,""type"":""Villa"",""rentalUnit"":""Monthly"",""minBedrooms"":4,""minBathrooms"":3,""latitude"":31.2854,""longitude"":30.0173,""radiusKm"":18,""page"":1,""pageSize"":20}",2026-05-24T12:10:00Z
4016,15151515-1515-1515-1515-151515151515,2010,booking,,2026-05-24T12:15:00Z
4017,16161616-1616-1616-1616-161616161616,,search,"{""keyword"":""ras el bar studio"",""governorate"":""DamiettaGovernorate"",""maxPrice"":5000,""type"":""Studio"",""rentalUnit"":""Daily"",""latitude"":31.5085,""longitude"":31.8404,""radiusKm"":10,""page"":1,""pageSize"":20}",2026-05-25T13:00:00Z
4018,16161616-1616-1616-1616-161616161616,2017,view,,2026-05-25T13:03:00Z
4019,16161616-1616-1616-1616-161616161616,,search,"{""keyword"":""alex coast apartment"",""governorate"":""AlexandriaGovernorate"",""minPrice"":6000,""maxPrice"":8500,""type"":""Apartment"",""rentalUnit"":""Monthly"",""latitude"":31.2156,""longitude"":29.9420,""radiusKm"":15,""page"":1,""pageSize"":20}",2026-05-25T13:12:00Z
4020,16161616-1616-1616-1616-161616161616,2006,save,,2026-05-25T13:16:00Z
