Id,OwnerId,Title,Description,Type,IsShared,MaxOccupants,Bedrooms,Beds,Bathrooms,SquareMeters,Views,Price,RentalUnit,Address,City,State,ZipCode,Latitude,Longitude,IsActive,Status,CreatedAt,ProofOfOwnership
2001,44444444-4444-4444-4444-444444444444,Nile View Apartment,A bright apartment near downtown Cairo for monthly stays,Apartment,false,3,2,3,1,118,14,7200,Monthly,15 Tahrir Square,Cairo,CairoGovernorate,11511,30.0444,31.2357,true,Verified,2026-05-01T00:00:00Z,/images/documents/property2001-POO.jpg
2002,66666666-6666-6666-6666-666666666666,Heliopolis Family Flat,Comfortable family flat close to shops and transit,Apartment,false,4,3,4,2,146,9,9800,Monthly,22 Al Ahram Street,Heliopolis,CairoGovernorate,11757,30.0919,31.3174,true,Verified,2026-05-02T00:00:00Z,/images/documents/property2002-POO.jpg
2003,44444444-4444-4444-4444-444444444444,Maadi Garden Studio,Quiet studio with easy access to Maadi services,Studio,false,2,1,1,1,62,7,5400,Monthly,8 Road 9,Maadi,CairoGovernorate,11431,29.9602,31.2569,true,Verified,2026-05-03T00:00:00Z,/images/documents/property2003-POO.jpg
2004,66666666-6666-6666-6666-666666666666,Nasr City Shared Loft,Shared loft suited for students and young professionals,SharedRoom,true,3,1,3,1,88,5,3200,Monthly,41 Makram Ebeid Street,Nasr City,CairoGovernorate,11765,30.0626,31.3301,true,Pending,2026-05-04T00:00:00Z,/images/documents/property2004-POO.jpg
2005,44444444-4444-4444-4444-444444444444,New Cairo Corner Villa,Modern villa in a quiet New Cairo neighborhood,Villa,false,6,4,5,3,285,11,22000,Monthly,10 South 90 Street,New Cairo,CairoGovernorate,11835,30.0300,31.4700,true,Verified,2026-05-05T00:00:00Z,/images/documents/property2005-POO.jpg
2006,66666666-6666-6666-6666-666666666666,Corniche Sea Apartment,Sea facing apartment near the Alexandria Corniche,Apartment,false,3,2,2,1,110,18,7600,Monthly,33 Corniche Road,Alexandria,AlexandriaGovernorate,21519,31.2001,29.9187,true,Verified,2026-05-06T00:00:00Z,/images/documents/property2006-POO.jpg
2007,44444444-4444-4444-4444-444444444444,Sidi Gaber Urban Flat,Well placed flat near transport and universities,Apartment,false,4,2,3,2,124,12,8100,Monthly,12 El Horreya Road,Sidi Gaber,AlexandriaGovernorate,21615,31.2156,29.9420,true,Verified,2026-05-07T00:00:00Z,/images/documents/property2007-POO.jpg
2008,66666666-6666-6666-6666-666666666666,Smouha Park Residence,Spacious residence overlooking a calm residential area,House,false,5,3,4,2,172,10,11500,Monthly,27 Fawzy Moaz Street,Smouha,AlexandriaGovernorate,21646,31.2150,29.9553,true,Verified,2026-05-08T00:00:00Z,/images/documents/property2008-POO.jpg
2009,44444444-4444-4444-4444-444444444444,Miami Beach Studio,Compact studio within walking distance of the beach,Studio,false,2,1,1,1,58,16,4900,Monthly,50 Khaled Ibn Al Walid Street,Miami,AlexandriaGovernorate,21919,31.2677,30.0046,true,Pending,2026-05-09T00:00:00Z,/images/documents/property2009-POO.jpg
2010,66666666-6666-6666-6666-666666666666,Montaza Family Villa,Large villa near the Montaza district gardens,Villa,false,7,4,6,3,310,8,24500,Monthly,6 Malek Hefny Street,Montaza,AlexandriaGovernorate,21923,31.2854,30.0173,true,Verified,2026-05-10T00:00:00Z,/images/documents/property2010-POO.jpg
